"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
4429|Diclofop methyl|UT||Diclofop methyl||0|0|1|.000001
4440|Haloxyfop 2-methyl|UT|Micrograms/Litre|Haloxyfop 2-methyl||0|0|1|.000001
4441|Haloxyop 2-etotyl|UT|Micrograms/Litre|Haloxyop 2-etotyl||0|0|1|.000001
4442|Triclopyr|UT||Triclopyr||0|0|1|.000001
4443|Fluroxypyr|UT|Micrograms/Litre|Fluroxypyr||0|0|1|.000001
4446|Clopyralid|UT|Micrograms/Litre|Clopyralid||0|0|1|.000001
4500|Propanil|UT||Propanil||0|0|1|.000001
4626|Trifluralin        1582-09-8|UT|Micrograms/Litre|Trifluralin      (ug/L)||0|0|1|.00001
4634.01|Bromacil (lower LOR)|UT|Micrograms/Litre|Bromacil (lower LOR) (ug/L)|Reporting limit 0.01|0|0|2|.00001
4636|Pendimethalin      40487-42-1|UT|Micrograms/Litre|Pendimethalin      40487-42-1||0|0|1|.00001
4637.01|Metolachlor (lower LOR)|UT|Micrograms/Litre|Metolachlor (lower LOR)    (ug/L)|Reporting limit 0.01|0|0|2|.00001
4638|Haloxyfop|UT|Micrograms/Litre|Haloxyfop (Micrograms/Litre)||0|0|1|.000001
4642.01|Hexazinone (lower LOR)|UT|micrograms/Litre|Hexazinone (lower LOR)||0|0|2|.00001
4650|Metribuzin|UT|Micrograms/Litre|Metribuzin||0|0|1|.000001
4951|Procymidone|UT|micrograms/Litre|Procymidone||0|0|1|.00001
4952|Propiconazole|UT|micrograms/Litre|Propiconazole||0|0|1|.00001
6101|Total Plate Count|SCAL|Colony Forming units|Total Plate Count  CFU/mL|Hetrotrophic Colony Count|0|0|0|.00001
6111|Total Coliform|SCAL|Colony Forming units|Total Coliform CFU/100 mL||0|0|0|.00001
6112|Faecal Coliform|SCAL|Colony Forming units|Faecal Coliform  CFU/100 mL||0|0|0|.00001
6114|E. coli|SCAL|Colony Forming units|E. coli  CFU/100 mL||0|0|0|.00001
7540|Thallium - total|MGL|Milligrams/Litre|Thallium - total||0|0|0|.00001
